Company,File No.,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"Anthem Health Plans, Inc",700820,02/17/2017,02/21/2017,,,Premium and Rating,Premium/Notice,Record Only,No Action Necessary,0.00,Closed
Transamerica Life Insurance Company,503621,08/05/2015,08/26/2015,,,Unfair Claims Practice,Claim Delays,Additional Money Received,Furnished Information,0.00,Closed
"ConnectiCare Benefits, Inc.",901051,03/05/2019,03/26/2019,,,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,604481,09/27/2016,10/18/2016,,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Global Liberty Insurance Company of New York,505047,11/04/2015,11/04/2015,,,Unfair Claims Practice,Denial of Claim,No Cause For Action,No Action Necessary,0.00,Closed
"Anthem Health Plans, Inc",803513,07/30/2018,,Exchange-Individual Hlth,In-Patient,Unfair Claims Practice,Eligibility of Provider,,,0.00,Re-Opened
Middlesex Mutual Assurance Company,501176,03/12/2015,04/07/2015,,,Premium and Rating,Excessive Charges,Corrective Action,Justified,349.00,Closed
American Commerce Insurance Company,901244,03/15/2019,03/26/2019,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Allstate Insurance Company,600426,01/28/2016,02/19/2016,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Aetna Life Insurance Company,601070,03/04/2016,03/22/2016,,,Unfair Claims Practice,Mandated Benefit,Corrective Action,Justified,414.70,Closed
Forethought Life Insurance Company,503337,07/20/2015,08/19/2015,,,Marketing/Sales,Misleading Advertising,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",702316,05/16/2017,07/26/2017,,,Unfair Claims Practice,Eligibility of Provider,Contract Provision,Furnished Information,0.00,Closed
Hartford Life and Accident Insurance Company,702940,06/23/2017,07/17/2017,Group Life,Term Life,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",603034,07/01/2016,08/02/2016,,,Unfair Claims Practice,Contract Provision,Contract Provision,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,703390,07/25/2017,08/23/2017,,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",803513,07/30/2018,,Exchange-Individual Hlth,In-Patient,Unfair Claims Practice,Eligibility of Provider,Furnished Information,Furnished Information,0.00,Re-Opened
SAFECO Insurance Company of America,700562,02/02/2017,02/07/2017,,,Underwriting,Cancellation,Complaint Withdrawn,No Action Necessary,0.00,Closed
ConnectiCare Inc,901152,03/11/2019,03/26/2019,Group Health,Colonoscopy,Unfair Claims Practice,CPT Code Issue,Claim Settled,Voluntary Reconsider,408.00,Closed
IDS Property Casualty Insurance Company,700872,02/21/2017,03/22/2017,,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Lincoln National Life Insurance Company (The),602500,06/02/2016,06/28/2016,,,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,702734,06/13/2017,07/21/2017,,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Nationwide General Insurance Company,601663,04/08/2016,04/18/2016,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Pilgrim Insurance Company,804592,09/26/2018,10/26/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Wilcac Life Insurance Company,500144,01/12/2015,01/23/2015,,,Unfair Claims Practice,Eligibility of Provider,Furnished Information,Furnished Information,0.00,Closed
Allstate Insurance Company,500239,01/16/2015,02/11/2015,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
NGM Insurance Company,605094,11/07/2016,11/25/2016,,,Underwriting,Cancellation,Company Position Upheld,Unjustified,0.00,Closed
Amica Mutual Insurance Company,702867,06/20/2017,07/17/2017,,,Unfair Claims Practice,Actual Cash Value Dispute,Company Position Upheld,Unjustified,0.00,Closed
GEICO Indemnity Company,605331,11/21/2016,12/09/2016,,,Unfair Claims Practice,Claim Delays,Claim Settled,Justified,7641.60,Closed
BCS Insurance Company,604825,10/20/2016,11/17/2016,,,Underwriting,Cancellation,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",500133,01/12/2015,01/26/2015,,,Unfair Claims Practice,Eligibility of Provider,Contract Provision,Furnished Information,0.00,Closed
Government Employees Insurance Company,901176,03/12/2019,03/26/2019,Auto,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Bankers Life and Casualty Company,604265,09/14/2016,12/07/2016,,,Marketing/Sales,Producer Handling,Corrective Action,Justified,250000.00,Closed
"ConnectiCare Benefits, Inc.",600830,02/23/2016,03/18/2016,,,Marketing/Sales,Producer Handling,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",900793,02/19/2019,03/06/2019,Group Health,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Company Position Upheld,Furnished Information,0.00,Closed
ConnectiCare Inc,703000,06/27/2017,07/21/2017,,,Unfair Claims Practice,CPT Code Issue,Furnished Information,Furnished Information,524.84,Closed
Patrons Mutual Insurance Company of Connecticut,702744,06/13/2017,07/17/2017,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",503407,07/22/2015,09/17/2015,,,Unfair Claims Practice,Claim Procedure,Coverage Granted,Justified,6809.00,Closed
State Farm Mutual Automobile Insurance Company,900310,01/22/2019,02/26/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Progressive Northern Insurance Company,503045,07/01/2015,07/20/2015,,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Garrison Property and Casualty Insurance Company,603378,07/22/2016,08/08/2016,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"AmTrust Insurance Company of Kansas, Inc.",602189,05/11/2016,06/09/2016,,,Premium and Rating,Audit,Company Position Upheld,Unjustified,0.00,Closed
GEICO General Insurance Company,602160,05/09/2016,06/06/2016,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Aetna Life Insurance Company,500838,02/23/2015,03/11/2015,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Quincy Mutual Fire Insurance Company,600779,02/19/2016,03/15/2016,,,Premium and Rating,Premium Refund Delay,Company Position Upheld,Unjustified,0.00,Closed
ConnectiCare Inc,600570,02/08/2016,02/23/2016,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
Patrons Mutual Insurance Company of Connecticut,703145,07/10/2017,08/30/2017,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Minnesota Life Insurance Company,702150,05/05/2017,08/31/2017,Individual Annuity,Fixed Annuity,Marketing/Sales,Producer Handling,Corrective Action,Unjustified,0.00,Closed
First American Title Insurance Company,603118,07/08/2016,07/20/2016,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",900549,02/04/2019,03/26/2019,A & H,Dental,Unfair Claims Practice,CPT Code Issue,Furnished Information,Furnished Information,0.00,Closed
Accordia Life and Annuity Company,600796,02/22/2016,03/04/2016,,,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
Prudential Insurance Company of America,500771,02/19/2015,03/06/2015,,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",802919,06/25/2018,,Group Health,Radiology,Unfair Claims Practice,Unsatisfactory Settlement,,,0.00,Re-Opened
Fidelity National Title Insurance Company,500090,01/09/2015,01/30/2015,,,Unfair Claims Practice,Claim Procedure,Coverage Granted,Questionable,0.00,Closed
"ConnectiCare Insurance Company, Inc",700944,02/24/2017,03/27/2017,,,Marketing/Sales,Policy Service Delay,Contract Provision,Voluntary Reconsider,1222.17,Closed
Allstate Indemnity Company,604518,09/29/2016,10/18/2016,,,Unfair Claims Practice,Claim Delays,Corrective Action,Questionable,99854.98,Closed
Allstate Fire and Casualty Insurance Company,901061,03/05/2019,03/26/2019,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Settlement,Additional Money Received,Unjustified,369.03,Closed
Nationwide Mutual Insurance Company,503709,08/12/2015,11/13/2015,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"HealthyCT, Inc.",502813,06/16/2015,06/26/2015,,,Premium and Rating,Premium/Notice,Furnished Information,Furnished Information,0.00,Closed
Harleysville Insurance Company,603459,07/27/2016,09/27/2016,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Public Service Insurance Company,504120,09/04/2015,11/24/2015,,,Premium and Rating,Audit,Corrective Action,Justified,615.00,Closed
"ConnectiCare Insurance Company, Inc",805297,11/09/2018,11/16/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
American Bankers Insurance Company of Florida,505655,12/15/2015,01/22/2016,,,Underwriting,Other [Enter Sub-Reason],Furnished Information,No Authority,0.00,Closed
State Farm Fire & Casualty Company,703692,08/14/2017,08/30/2017,Auto,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Aetna Life Insurance Company,603309,07/20/2016,09/23/2016,,,Unfair Claims Practice,Contract Provision,Additional Money Received,Justified,3704.72,Closed
Globe Life and Accident Insurance Company,603931,08/23/2016,08/25/2016,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Protective Life Insurance Company,703617,08/08/2017,08/28/2017,Individual Life,Other,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",701666,04/06/2017,05/22/2017,,,Unfair Claims Practice,CPT Code Issue,Contract Provision,Furnished Information,0.00,Closed
John Hancock Life Insurance Company (USA),600238,01/19/2016,02/01/2016,,,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,26048.00,Closed
Truck Insurance Exchange,700010,01/03/2017,01/19/2017,,,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Unjustified,0.00,Closed
American Strategic Insurance Corp.,700953,02/27/2017,03/07/2017,,,Unfair Claims Practice,Denial of Claim,Claim Settled,Unjustified,0.00,Closed
Utica Specialty Risk Insurance Company,701032,03/02/2017,03/16/2017,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
ConnectiCare Inc,805172,11/01/2018,11/16/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
Central Mutual Insurance Company,604350,09/20/2016,10/17/2016,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Nationwide Property & Casualty Insurance Company,600266,01/19/2016,02/24/2016,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Transamerica Premier LIfe Insurance Company,502121,05/06/2015,05/27/2015,,,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
LM General Insurance Company,503806,08/18/2015,11/03/2015,,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,1995.88,Closed
ReliaStar Life Insurance Company of New York,501310,03/20/2015,04/02/2015,,,Marketing/Sales,Policy Service,Policy Not In Force,Unjustified,0.00,Closed
Prudential Insurance Company of America,601798,04/18/2016,05/09/2016,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
State Farm Fire & Casualty Company,702529,05/31/2017,06/12/2017,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Connecticut Interlocal Risk Management Agency (CIRMA),901243,03/15/2019,03/26/2019,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Benefits, Inc.",901187,03/12/2019,03/26/2019,Exchange-Individual Hlth,Prescription,Utilization Review,Medical Necessity,Coverage Extended,Furnished Information,0.00,Closed
State Automobile Mutual Insurance Company,503974,08/27/2015,09/30/2015,,,Unfair Claims Practice,Claim Procedure,Corrective Action,Justified,0.00,Closed
"Anthem Health Plans, Inc",502812,06/16/2015,07/07/2015,,,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
Travelers Casualty and Surety Company of America,900016,01/02/2019,01/22/2019,Condo Unit Owner,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
American Bankers Insurance Company of Florida,500327,01/28/2015,03/30/2015,,,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
State Farm Mutual Automobile Insurance Company,602887,06/22/2016,07/08/2016,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
GEICO Indemnity Company,805951,12/27/2018,01/22/2019,Auto Liability,,Unfair Claims Practice,Loss of Use,Complaint Withdrawn,No Action Necessary,0.00,Closed
Mutual of Omaha Insurance Company,500928,02/26/2015,03/12/2015,,,Unfair Claims Practice,Claim Procedure,Contract Provision,Furnished Information,0.00,Closed
Transamerica Life Insurance Company,505827,12/30/2015,02/08/2016,,,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
Metropolitan Life Insurance Company,500046,01/06/2015,01/20/2015,,,Unfair Claims Practice,Claim Delays,Claim Paid With Interest,Justified,179.71,Closed
SAFECO Insurance Company of America,804895,10/17/2018,11/06/2018,Homeowners,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",501618,04/07/2015,04/23/2015,,,Unfair Claims Practice,Denial of Claim,Claim Settled,Voluntary Reconsider,249.67,Closed
Charter Oak Fire Insurance Company (The),404002,08/08/2014,03/13/2015,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
United Services Automobile Association,505126,11/09/2015,12/11/2015,,,Unfair Claims Practice,Storage Fees,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Benefits, Inc.",901051,03/05/2019,03/26/2019,Exchange-Individual Hlth,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
Metropolitan Life Insurance Company,502078,05/05/2015,05/27/2015,,,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
Standard Fire Insurance Company (The),501815,04/20/2015,04/20/2015,,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",501131,03/10/2015,03/10/2015,,,Unfair Claims Practice,No Subreason,Corrective Action,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",702382,05/19/2017,06/06/2017,,,Marketing/Sales,Policy Service,Furnished Information,Furnished Information,0.00,Closed
ConnectiCare Inc,601614,04/05/2016,04/20/2016,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
Progressive Casualty Insurance Company,504595,10/06/2015,10/15/2015,,,Unfair Claims Practice,Steering,Insufficient Information,No Action Necessary,0.00,Closed
ConnectiCare Inc,501458,03/30/2015,06/04/2015,,,Unfair Claims Practice,CPT Code Issue,Provider Issue,Furnished Information,0.00,Closed
Allstate Insurance Company,501124,03/10/2015,04/07/2015,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
ConnectiCare Inc,500101,01/09/2015,01/22/2015,,,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
Esurance Insurance Company,601013,03/02/2016,03/16/2016,,,Unfair Claims Practice,Actual Cash Value Dispute,Claim Settled,Unjustified,0.00,Closed
Continental Casualty Company,701853,04/19/2017,05/31/2017,,,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
American General Life Insurance Company,603509,07/29/2016,08/31/2016,,,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
Allstate Insurance Company,503039,07/01/2015,07/15/2015,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Garrison Property and Casualty Insurance Company,501070,03/09/2015,03/26/2015,,,Unfair Claims Practice,Claim Delays,Additional Money Received,Unjustified,325.99,Closed
Scottsdale Insurance Company,605021,11/03/2016,11/21/2016,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",500282,01/26/2015,02/05/2015,,,Unfair Claims Practice,CPT Code Issue,Provider Issue,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,701274,03/16/2017,03/27/2017,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Hartford Insurance Company of the Midwest,504943,10/28/2015,11/16/2015,,,Premium and Rating,Excessive Charges,Corrective Action,Justified,1362.00,Closed
GEICO General Insurance Company,700950,02/24/2017,03/07/2017,,,Unfair Claims Practice,Comparative Negligence,Corrective Action,Justified,0.00,Closed
"Anthem Health Plans, Inc",703075,07/03/2017,07/26/2017,,,Unfair Claims Practice,Eligibility of Provider,Furnished Information,Furnished Information,0.00,Closed
Prudential Retirement Insurance and Annuity Company,505029,11/03/2015,11/10/2015,,,Marketing/Sales,Policy Service Delay,Company Position Upheld,Unjustified,0.00,Closed
USAA Casualty Insurance Company,504591,10/06/2015,12/24/2015,,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",700416,01/25/2017,02/17/2017,,,Marketing/Sales,Policy Service Delay,Insufficient Information,No Action Necessary,0.00,Closed
ConnectiCare Inc,600564,02/05/2016,02/23/2016,,,Unfair Claims Practice,Unsatisfactory Settlement,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",605614,12/08/2016,01/03/2017,,,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
Combined Insurance Company of America,805937,12/26/2018,01/22/2019,Individual Life,Term Life,Premium and Rating,Premium/Notice,Contract Provision,Unjustified,0.00,Closed
USAA General Indemnity Company,603597,08/04/2016,08/17/2016,,,Unfair Claims Practice,Claim Delays,Claim Settled,Justified,0.00,Closed
Connecticut FAIR Plan,900886,02/22/2019,03/27/2019,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Continental Casualty Company,504144,09/08/2015,09/29/2015,,,Unfair Claims Practice,Eligibility of Provider,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",502286,05/15/2015,06/01/2015,,,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
Great Lakes Insurance SE,505829,12/30/2015,01/29/2016,,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,505315,11/23/2015,12/14/2015,,,Unfair Claims Practice,Actual Cash Value Dispute,Company Position Upheld,Unjustified,0.00,Closed
Travelers Casualty Company of Connecticut,600242,01/19/2016,02/10/2016,,,Marketing/Sales,Policy Service Delay,Company Position Upheld,Unjustified,0.00,Closed
Wilcac Life Insurance Company,405778,11/24/2014,02/26/2015,,,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
"ConnectiCare Benefits, Inc.",602322,05/20/2016,06/03/2016,,,Unfair Claims Practice,Subrogation,Furnished Information,Furnished Information,0.00,Closed
Amica Mutual Insurance Company,502741,06/11/2015,07/14/2015,,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
New London County Mutual Insurance Company,602886,06/22/2016,11/14/2016,,,Underwriting,Non-Renewal,Corrective Action,Questionable,0.00,Closed
Allstate Fire and Casualty Insurance Company,700078,01/05/2017,01/24/2017,,,Unfair Claims Practice,Loss of Use,Claim Settled,Unjustified,0.00,Closed
ReliaStar Life Insurance Company,500118,01/12/2015,02/11/2015,,,Marketing/Sales,No Coverage/Premium Paid,Corrective Action,Questionable,0.00,Closed
Riverport Insurance Company,600946,02/26/2016,04/13/2016,,,Premium and Rating,Audit,Corrective Action,Unjustified,168.00,Closed
Aetna Life Insurance Company,602400,05/26/2016,06/20/2016,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Metropolitan Life Insurance Company,504789,10/19/2015,11/06/2015,,,Marketing/Sales,Policy Service,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Benefits, Inc.",602298,05/18/2016,07/05/2016,,,Unfair Claims Practice,Eligibility of Provider,Claim Settled,Voluntary Reconsider,250.00,Closed
Homesite Insurance Company,901075,03/06/2019,03/27/2019,Auto,,Premium and Rating,Excessive Charges,Corrective Action,Justified,0.00,Closed
MedAmerica Insurance Company,500194,01/14/2015,01/26/2015,,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
American General Life Insurance Company,505301,11/20/2015,12/18/2015,,,Marketing/Sales,Policy Service Delay,Corrective Action,Justified,0.00,Closed
Transamerica Life Insurance Company,502683,06/09/2015,07/01/2015,,,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
Utica National Assurance Company,900268,01/17/2019,01/22/2019,Homeowners,,Premium and Rating,Premium/Notice,Complaint Withdrawn,No Action Necessary,0.00,Closed
Allianz Life Insurance Company of North America,504327,09/18/2015,10/28/2015,,,Marketing/Sales,Producer Handling,Contract Provision,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,601756,04/15/2016,05/04/2016,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,600474,02/01/2016,03/03/2016,,,Unfair Claims Practice,Steering,Company Position Upheld,Unjustified,0.00,Closed
Patrons Mutual Insurance Company of Connecticut,901044,03/05/2019,03/27/2019,Homeowners,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"Oxford Health Insurance, Incorporated",602314,05/19/2016,07/13/2016,,,Unfair Claims Practice,CPT Code Issue,Furnished Information,Furnished Information,0.00,Closed
Nationwide Life Insurance Company,602804,06/17/2016,07/21/2016,,,Unfair Claims Practice,Claim Procedure,Claim Paid With Interest,Furnished Information,108.56,Closed
Allstate Insurance Company,603346,07/21/2016,08/16/2016,,,Unfair Claims Practice,Claim Procedure,Additional Money Received,Justified,225.00,Closed
Cambridge Mutual Fire Insurance Company,502675,06/09/2015,07/14/2015,,,Unfair Claims Practice,Denial of Claim,Coverage Extended,Voluntary Reconsider,9500.00,Closed
Lincoln Heritage Life Insurance Company,503178,07/10/2015,07/27/2015,,,Premium and Rating,Premium Refund Delay,Corrective Action,Unjustified,0.00,Closed
Underwriters at Lloyds London,500564,02/09/2015,02/11/2015,,,Unfair Claims Practice,Denial of Claim,Complaint Withdrawn,No Action Necessary,0.00,Closed
"Anthem Health Plans, Inc",502689,06/09/2015,07/16/2015,,,Unfair Claims Practice,Unsatisfactory Settlement,Additional Money Received,Voluntary Reconsider,1605.06,Closed
Aetna Life Insurance Company,600417,01/28/2016,02/24/2016,,,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",805033,10/24/2018,11/19/2018,,,Unfair Claims Practice,Provider Contract Issue,Provider Issue,Furnished Information,0.00,Closed
Stonebridge Life Insurance Company,503216,07/13/2015,07/29/2015,,,Premium and Rating,Premium Refund Delay,Company Position Upheld,Unjustified,0.00,Closed
Foremost Property and Casualty Insurance Company,504301,09/17/2015,11/30/2015,,,Marketing/Sales,Other [Enter Sub-Reason],Company Position Upheld,Unjustified,0.00,Closed
SAFECO Insurance Company of Illinois,500059,01/07/2015,02/10/2015,,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",603675,08/09/2016,09/15/2016,,,Unfair Claims Practice,Coordination of Benefit,Claim Settled,Furnished Information,0.00,Closed
CSAA Affinity Insurance Company,900025,01/03/2019,01/22/2019,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",605184,11/14/2016,12/15/2016,,,Marketing/Sales,Policy Service Delay,Furnished Information,Furnished Information,0.00,Closed
Transamerica Life Insurance Company,501236,03/17/2015,04/21/2015,,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
Government Employees Insurance Company,703636,08/10/2017,08/29/2017,Auto Physical Damage,,Unfair Claims Practice,Storage Fees,Furnished Information,Unjustified,0.00,Closed
Metropolitan Life Insurance Company,602991,06/29/2016,07/11/2016,,,Marketing/Sales,Policy Service Delay,Complaint Withdrawn,No Action Necessary,0.00,Closed
Quincy Mutual Fire Insurance Company,605264,11/17/2016,12/07/2016,Homeowners,,Unfair Claims Practice,Claim Procedure,Furnished Information,Unjustified,0.00,Closed
Transamerica Casualty Insurance Company,804740,10/09/2018,11/19/2018,Travel Insurance,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,400.00,Closed
Allstate Fire and Casualty Insurance Company,805000,10/23/2018,11/19/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Liberty Mutual Insurance Company,500121,01/12/2015,02/13/2015,,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,1107.40,Closed
"Anthem Health Plans, Inc",500287,01/26/2015,02/04/2015,,,Unfair Claims Practice,CPT Code Issue,Additional Money Received,Justified,330.00,Closed
NGM Insurance Company,600732,02/18/2016,03/16/2016,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Hartford Casualty Insurance Company,604323,09/19/2016,10/03/2016,,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Hanover American Insurance Company,501568,04/06/2015,05/06/2015,,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
SAFECO Insurance Company of Illinois,605868,12/29/2016,02/07/2017,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
John Hancock Life Insurance Company (USA),604246,09/13/2016,10/06/2016,,,Marketing/Sales,Policy Service Delay,Corrective Action,Justified,0.00,Closed
"ConnectiCare Insurance Company, Inc",605462,11/30/2016,12/20/2016,,,Unfair Claims Practice,CPT Code Issue,Furnished Information,Furnished Information,0.00,Closed
Great West Casualty Company,602669,06/10/2016,09/22/2016,,,Unfair Claims Practice,Loss of Use,Company Position Upheld,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,601289,03/17/2016,03/31/2016,,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
ConnectiCare Inc,703221,07/17/2017,08/10/2017,,,Unfair Claims Practice,Eligibility of Provider,Contract Provision,Furnished Information,0.00,Closed
Aetna Health and Life Insurance Company,805034,10/24/2018,11/19/2018,Unknown,Speech Therapy,Unfair Claims Practice,Denial of Claim,Complaint Withdrawn,No Action Necessary,0.00,Closed
Amica Mutual Insurance Company,604029,08/29/2016,09/12/2016,,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",406219,12/19/2014,02/18/2015,,,Unfair Claims Practice,CPT Code Issue,Claim Paid With Interest,Justified,9435.62,Closed
